RECORD TYPE,DOCUMENT NUMBER,SOURCE DOCUMENT TYPE,DOCUMENT DESCRIPTION,REQUISITION NUMBER,INPUT DATE,TOTAL AMOUNT,DEPARTMENT NUMBER,DEPARTMENT NAME,COST CENTER,COST CENTER NAME,DOCUMENT TYPE CODE,DOCUMENT TYPE DESCRIPTION,DOCUMENT STATUS CODE,DOCUMENT STATUS DESCRIPTION,VOUCHED AMOUNT,START DATE,EXPIRATION DATE,EXTENSION DATE,ANNUAL CONTRACT,VENDOR NAME 1,VENDOR NAME 2,VENDOR CITY,VENDOR STATE,VENDOR ZIP,VENDOR TYPE,GENDER,ETHNICITY,STATUS,CLASS,GEOGRAPHIC AREA,INDEPENDENT CONTRACTOR,MINORITY,DISADVANTAGED,DISABLED VETERAN,SB DISABLED VET,SB MINORITY,SB MINORITY WOMAN,SB NON-MINORITY,SB DISADVANTAGED,SB VETERAN,SB WOMAN,TOTAL ITEMS,ITEM NUMBER,ITEM DESCRIPTION,ITEM QUANTITY ORDERED,ITEM UNIT OF MEASURE,ITEM UNIT COST,ITEM TOTAL COST,COMMODITY CODE,COMMODITY DESCRIPTION,EXPENSE TYPE,EXPENSE TYPE DESCRIPTION
D,17001450,P,SCREWS  ALL KINDS (NOT OTHERWI,2967.0,11/27/2017,0,1200.0,LIBRARY,1200.0,LIBRARY,N,Normal,0.0,Closed,,,,,,INDUSTRIAL SCREW & SUPPLY CO INC,,BATON ROUGE,LA,70821,CONVERSION,MALE,CAUCASIAN AMERICAN,A,,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,17.0,TOGGLE BOLT R.H. PLTD 1/8 X 2 COMBO DRIVE,50.0,EA,0.23,11.48,,,632000.0,BUILDING MATERIALS
D,800004181,C,HUGHES CONSULTANT GROUP  LLC,10281.0,01/11/2022,0,6110.0,COMMUNITY DEVELOP,6110.0,ADMIN,6,Social Service,8.0,Posted,,,,,,HUGHES CONSULTANT GROUP LLC,,BATON ROUGE,LA,70808,PROFESSION,MALE,AFRICAN-AMERICAN,A,SOLE,INP,Y,Y,N,N,N,Y,N,N,N,N,N,1.0,2.0,*****AMENDMENT # 1 ***** RESOLUTION # 56195 *****GRANT ALLOCATION OF $260 000.00 APPROVED BY METRO COUNCIL TO BE USED FOR THE REHABULITATION IF THREE (3) SINGLE-FAMILY HOMES LOCATED AT 1054 CENTRAL ROAD  1060 CENTRAL ROAD AND 1062 CENTRAL ROAD  BATON ROUGE  LA 70807 FOR RENT TO LOW MODERATELY-LOW INCOME HOUSEHOLDS UNDER HOME INCOME AND AFFORDABILITY REQUIREMENTS.,1.0,EACH,260000.0,260000.0,90923.0,"BUILDING CONSTRUCTION, RESIDEN",,
D,18005431,P,OFFICE SUPPLIES  GENERAL (Drai,9711.0,06/14/2018,0,7640.0,MAINTENANCE,7640.0,DRAINAGE MAINT,N,Normal,0.0,Closed,,,,,,STAPLES,,FRAMINGHAM,MA,1702,CONVERSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,7.0,7 gallon wastebasket,1.0,EACH,7.92,7.92,,,631000.0,OFFICE SUPPLIES
D,17001730,P,Bulbs,3528.0,12/12/2017,0,7140.0,TRAN & DRAIN,7140.0,TRAFFIC ENG,N,Normal,0.0,Closed,,,,,,NOTOCO INDUSTRIES LLC,,BATON ROUGE,LA,70816-4090,SUPPLIES,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,GECF30T12CWRS  30 inch fluorescent bulbs (illuminated signs) 24 pk.,96.0,EACH,5.9,566.4,,,632200.0,TRAFFIC SIGNAL MATERIAL
D,22000485,P,10 PLANS AND SPECS,583.0,01/24/2022,0,7820.0,BLDG&GROUND,7820.0,ARCHITECTURAL SERV,N,Normal,0.0,Closed,,,,,,ARC DOCUMENT SOLUTIONS LLC,,CINCINNATI,OH,45264-5913,PRINTING,,,A,LLCC,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,4.0,AMERICAN REPROGRAPHIC COMPANY FOR EBRP FIRST RESPONDER SAFE ROOM/TRAINING CENTER (21-ASC-CP-1329) FOR 10 SPECS AND PLANS.,10.0,EACH,1.97,19.67,96618.0,"COPYING SERVICE, REPRODUCTION",653000.0,IOTB & INFRASTRUCTURE
D,18003528,P,SUPPLIES FROM GRAINGER,6584.0,04/17/2018,0,7030.0,BUSINESS OPS,7030.0,WAREHOUSE,N,Normal,0.0,Closed,,,,,,GRAINGER,,NEW ORLEANS,LA,70123-3209,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,AIR FILTER (20X20X1),12.0,EACH,2.53,30.36,3134.0,"DUST COLLECTORS, INDUSTRIAL TY",150000.0,INVENTORY
D,21008287,P,4069 25288-10 KIRBY,12292.0,10/04/2021,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,800001579.0,ALL STAR AUTOMOTIVE,,DENHAM SPRINGS,LA,70726-5551,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,4069 25288-10 800001579 LINE 3TAIL LIGHT ITEM 0003 ORIGINAL EQUIPMENT MANUFACTURER�S FORD TRUCKS AND CARS PARTS WITH 34% DISCOUNT,1.0,EACH,192.22,192.22,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601220.0,COST OF GOODS-PARTS-NON INV
D,22002929,P,COMPUTER HARDWARE AND PERIPHER,4409.0,04/06/2022,0,6210.0,EMPLOY BR,6210.0,EMPLOY BR,N,Normal,0.0,Closed,,,,,,CDW GOVERNMENT,,VERNON HILLS,IL,60061-9740,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,SCANNERS  DOCUMENT: HANDHELD  DESKTOP AND HIGH VOLUME  ENVIRONMENTALLY CERTIFIED PRODUCTS/HP SCANJET PRO 3000 S4 SHEET FEED - DOCUMENT SCANNER - DESKTOP - USB 3.0 CDW #6006840 STATE CONTRACT #4400007559 MFG. PART#:6FW07A#BGJSHIP TO: INFORMATION SERVICES222 ST. LOUIS STREET RM 284BATON ROUGE  LA 70802,1.0,EACH,385.2,385.2,20588.0,"SCANNERS, DOCUMENT: HANDHELD,",636000.0,TRACKABLE SUPPLIES
D,20000416,P,SECURITY SAFETY ORDER,953.0,01/21/2020,0,7030.0,BUSINESS OPS,7030.0,WAREHOUSE,N,Normal,0.0,Closed,,,,,,SECURITY SAFETY & SUPPLY INC,,PORT ALLEN,LA,70767-0755,CONVERSION,,CAUCASIAN AMERICAN,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,3.0,RAIN JACKET XXXX-LARGE  HI VIS  EMBLEM,6.0,EACH,48.36,290.16,20165.0,"RAINWEAR: RAINCOATS, HATS, SLI",150000.0,INVENTORY
D,20006301,P,OFFICE SUPPLIES,10707.0,09/24/2020,0,7040.0,BUSINESS OPS,7040.0,311 CALL CENTER,N,Normal,0.0,Closed,,,,,,STAPLES,,FRAMINGHAM,MA,1702,CONVERSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,8.0,ITEM:  TRU RED Reinforced File Pocket  5.25 Expansion  Legal Size  Brown  10/Box (TR418343)Supplier Part No: 418343Manufacturer Part No: TR418343/418343Manufacturer Name: STAPLES BRANDS GROUPSupplier Quote No: 418343NIGP: UNSPSC: 44122019,2.0,BX,10.73,21.46,61560.0,"OFFICE SUPPLIES, GENERAL (NOT",631000.0,OFFICE SUPPLIES
D,18000946,P,REPAIR SERVICES TO UNIT P1418,2151.0,02/07/2018,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,PRESTIGE ENTERPRISES LLC,PITSTOP TIRE & CAR CARE,BATON ROUGE,LA,70815,,MALE,ETHNICITY NOT SPECIFIED,A,PSHP,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,POWER PLANT  ENGINE  BELTS  HEADS  INTAKE  REBUILDING  ETC. MAINTENANCE AND REPAIR,1.0,EACH,1811.5,1811.5,92860.0,"POWER PLANT, ENGINE, BELTS, HE",601300.0,COST OF GOODS-OUT PARTS/SRV
D,18008695,P,AIR CUSHIONED SWING CHECK VALV,12282.0,09/26/2018,0,7754.0,ENV SERV,7754.0,SEWER-WWT-NORTH PLANT,N,Normal,0.0,Closed,,,,,,FLUID PROCESS & PUMPS LLC,,HARAHAN,LA,70123,CONVERSION,NOT PROVIDED,ETHNICITY NOT SPECIFIED,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,4.0,VALVES AND VALVE PARTS  MISCELLANEOUSMETAL SEAT WASHERAuthorized dealer Sec. 1:706 (d),4.0,EACH,692.0,2768.0,67076.0,"VALVES AND VALVE PARTS, MISCEL",631900.0,OTHER OPERATING & MT SUPPLIES
D,18007920,P,SUPPLIES FOR WONDERLAND-HS,13658.0,08/30/2018,0,6020.0,DHDS,6020.0,HEADSTART,N,Normal,0.0,Closed,,,,,,GRAINGER,,NEW ORLEANS,LA,70123-3209,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,10.0,ITEM:  TK21136182T Bleach Primary Chemical None Cleaner Container Type Bottle Cleaner Container Size 1 gal. Ready to UseConcentrated Ready to Use Recommended Dilution Ready to Use Fragrance Chlorine Cleaner For,1.0,EA,5.74,5.74,,,631400.0,CLEANING/SANITATION SUPPLIES
D,22006663,P,UNIT P1606 EQUIPMENT MAINTENAN,9963.0,08/23/2022,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,CAPITAL CITY COLLISION LLC,,BATON ROUGE,LA,70805,CONVERSION,,ASIAN AMER/ASIAN PACIFIC AMER,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,UNIT P1606 ALIGNMENT AND WHEEL BALANCING  INCLUDING FRONT-END REPAIR,1.0,EACH,79.99,79.99,92810.0,"ALIGNMENT AND WHEEL BALANCING,",601300.0,COST OF GOODS-OUT PARTS/SRV
H,18004815,P,EQUIPMENT MAINTENANCE AND REPA,8755.0,05/25/2018,137.14,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,137.14,,,,,AUTO KING MUFFLER AND SERVICE CENTER,,BATON ROUGE,LA,70806,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,928.0,EQUIPMENT MAINTENANCE AND REPA,,
D,20003488,P,LED BULBS  LADDER  CONDUIT  FI,6123.0,06/12/2020,0,7753.0,ENV SERV,7753.0,SEWER-WWT-SOUTH PLANT,N,Normal,0.0,Closed,,,,,,GRAINGER,,NEW ORLEANS,LA,70123-3209,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,3.0,ITEM:  TK41764454T Flexible Nonmetallic Liquid Tight Conduit Series G Conduit Trade Size 12 In. Flexible Conduit Nominal Length 100 ft. Flexible Conduit Color Gray Flexible Conduit Core Material PVC Flexible Conduit Usable Temp. Range 0 Degrees to 176 Degrees FSupplier Part No: 6D075Manufacturer Part No: G1050Manufacturer Name: HUBBELL WIRING DEVICE-KELLEMSSupplier Quote No: WWG6D075NIGP: UNSPSC: 39121202,1.0,EA,95.1,95.1,28517.0,"CONDUIT AND FITTINGS, EMT (ELE",631900.0,OTHER OPERATING & MT SUPPLIES
D,21000449,P,UNIT 4060 AUTOMOTIVE AND TRAIL,915.0,01/19/2021,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,COVINGTON SALES & SERVICE INC,,DENHAM SPRINGS,LA,70727-1144,,,,A,CORP,INS,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,PARTS AND ACCESSORIES  AUTOMOTIVE  MISCELLANEOUS (NOT OTHERWISE CLASSIFIED),1.0,EACH,3675.28,3675.28,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601300.0,COST OF GOODS-OUT PARTS/SRV
H,18004123,P,COPY PAPER FOR DRAINAGE AND LA,7491.0,05/03/2018,157.8,7610.0,MAINTENANCE,7610.0,ADMINISTRATION,N,Normal,0.0,Closed,157.8,,,,,VERITIV OPERATING COMPANY,,BATON ROUGE,LA,70879,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,615.0,"OFFICE SUPPLIES, GENERAL",,
D,18004267,P,PLUMBING SUPPLIES FOR WORK ORD,7745.0,05/08/2018,0,7830.0,BLDG&GROUND,7830.0,BUILDING MAINT,N,Normal,0.0,Closed,,,,,,COBURNS WHOLESALE DISTRIBUTORS,,BATON ROUGE,LA,70817,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,6.0,ADJUSTABLE FLAPPER WITH FLOAT,1.0,EACH,8.04,8.04,67055.0,PLUMBING FIXTURES AND PARTS,632000.0,BUILDING MATERIALS
H,20001801,P,REWIND  DIP AND BAKE STATOR FO,2208.0,03/16/2020,63055,7742.0,ENV SERV,7742.0,SEWER-PUMP STATIONS,N,Normal,0.0,Closed,63055.0,,,,800001278.0,PRECISION PSI LLC,,KENNER,LA,70062,PROFESSION,MALE,CAUCASIAN AMERICAN,A,LLCS,INS,Y,N,N,N,N,N,N,N,N,N,N,2.0,0.0,,,,,,929.0,EQUIPMENT MAINTENANCE AND REPA,,
D,21005239,P,2499  20806-10  JASON,7997.0,06/18/2021,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,800003119.0,CRAWLER SUPPLY CO LLC,,BATON ROUGE,LA,70805-3212,,MALE,CAUCASIAN AMERICAN,A,LLCS,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,UNIT 2499 20806-10HYD CYLINDER0006 Original Equipment Manufacturer Standard Replacement Parts 13% With Discount;  any parts item with a net discount price in excess of $5 000.00 is excluded,1.0,EACH,1613.37,1613.37,92931.0,CONSTRUCTION EQUIPMENT MAINTEN,601220.0,COST OF GOODS-PARTS-NON INV
D,17000224,P,TOWING SERVICES FOR UNIT P1317,697.0,10/11/2017,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,800000073.0,GUY'S TOWING SERVICE INC,,BATON ROUGE,LA,70805,CONVERSION,,ETHNICITY NOT SPECIFIED,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,COST PER TOWING MILE FOR VEHICLES IN ITEM 1 ABOVE FOR CALLS ORIGINATING OUTSIDE OF THE PARISH OF EAST BATON ROUGE.  MILEAGE WILL BE PAID FROM THE ORIGINATING POINT BACK TO PARISH LINE OF EAST BATON ROUGE.,8.0,MILE,2.5,20.0,96890.0,VEHICLE TOWING AND STORAGE,601300.0,COST OF GOODS-OUT PARTS/SRV
D,22000154,P,4267 28873-12 phillip,374.0,01/11/2022,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,ALL STAR AUTOMOTIVE,,DENHAM SPRINGS,LA,70726-5551,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,4267 28873-12VALVE,1.0,EACH,9.05,9.05,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601220.0,COST OF GOODS-PARTS-NON INV
H,21008293,P,3986 JAMES 25045-12,12311.0,10/05/2021,1019.39,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,1019.39,,,,800002053.0,M & L INDUSTRIES LLC,,BATON ROUGE,LA,70805,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,3.0,0.0,,,,,,60.0,AUTOMOTIVE AND TRAILER EQUIPME,,
D,23003589,P,PUMP SHOP- ASSY-HOSE  HEX BUSH,5415.0,05/09/2023,0,7742.0,ENV SERV,7742.0,SEWER-PUMP STATIONS,N,Normal,0.0,Closed,,,,,,RUBBER HOUSE OF B R INC,,BATON ROUGE,LA,70814,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,PUMP SHOP-ASSY-HOSE  HEX BUSHING  THREADED PIPE UNION  CLOSE GALV STL NIPPLE,1.0,EACH,239.44,239.44,45041.0,HARDWARE AND RELATED ITEMS (NO,631900.0,OTHER OPERATING & MT SUPPLIES
H,21006004,P,BTR METRO AIRPORT - GEOPOWERED,8498.0,07/15/2021,3100,910.0,AIRPORT,910.0,ADMINISTRATION,N,Normal,0.0,Closed,3100.0,,,,,GEO JOBE GIS CONSULTING,,OLD HICKORY,TN,37138,PROFESSION,MALE,CAUCASIAN AMERICAN,A,,USA,N,N,N,N,N,N,N,N,N,N,N,2.0,0.0,,,,,,920.0,"DATA PROCESSING, COMPUTER, PRO",,
D,25000595,P,3902 73437-12 JASON,933.0,01/28/2025,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,AUTO PARTS & SUPPLIES LLC,NAPA AUTO PARTS,BATON ROUGE,LA,70815-1122,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,3902 73437-12 JASON7822131 FUSE LOW PROFILE FEMALW MAXI FUSE 40 AMPPARTS AND ACCESSORIES  AUTOMOTIVE  MISCELLANEOUS (NOT OTHERWISE CLASSIFIED),5.0,EACH,4.49,22.45,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601220.0,COST OF GOODS-PARTS-NON INV
H,800004506,C,ENGINEERING SERVICES  PROFESSIONAL,10988.0,04/25/2022,100596.01,7120.0,TRAN & DRAIN,7120.0,ENGINEERING,7,Professional Serv,8.0,Posted,14241.99,,,,,PIVOTAL ENGINEERING LLC,,NEW ORLEANS,LA,70112,PROFESSION,NOT PROVIDED,ETHNICITY NOT SPECIFIED,A,CORP,INS,N,N,Y,N,N,N,N,N,N,N,N,3.0,0.0,,,,,,,,,
D,800007665,C,A25-0580 - Full Service Landscaping & Irrig. A/P,1059.0,03/16/2026,0,910.0,AIRPORT,910.0,ADMINISTRATION,14,Annual City Parish,4.0,Released,,,,,,CORPORATE GREEN LLC,GREENSEASONS,GREENWELL SPRINGS,LA,70739-3222,,FEMALE,CAUCASIAN AMERICAN,A,LLCC,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,8.0,Item 0008 Repair/Maintenance/Programming of Irrigation System  as stated in attached specifications 3.1.26-2.28.27 A25-0580 Full Service Landscaping & Irrigation System Maintenance Resolution 59245 Adopted 2.25.26 by METRO Council & Resolution 02-25-26-03 Adopted GBR Airport Authority 02.25.26 PER MAN HOUR,50.0,HOUR,75.0,3750.0,98852.0,"LANDSCAPING, INCLUDING DESIGN,",,
H,20004270,P,AIR RELEASE VALVES FOR PS 4,7450.0,07/13/2020,4914,7742.0,ENV SERV,7742.0,SEWER-PUMP STATIONS,N,Normal,0.0,Closed,4914.0,,,,,MCINTIRE MANAGEMENT GROUP INC,D & W SYSTEM SALES,CLINTON,MS,39056-9006,,,,A,,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,670.0,"PLUMBING EQUIPMENT, FIXTURES,",,
D,800005840,C,REAL PROPERTY RENTAL OR LEASE,14405.0,01/30/2024,0,1500.0,DOWNTOWN DEVELOPMENT DISTRICT,1500.0,DOWNTOWN DEVELOPMENT DISTRICT,1,General,10.0,Closed,,,,,,TAYLOR BUILDING CO,,BATON ROUGE,LA,70801,LEASE/RENT,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,OFFICE SPACE RENTAL FOR DDD OFFICE Blanket Purchase Order. JANUARY 1  2024 - DECEMBER 31  2024 12 MONTHS $3 880.00 PER MONTH DEPARTMENT WILL ORDER ON AN AS NEEDED BASIS. ANY SINGLE CATALOG ITEM WITH A NEW DISCOUNT PRICE IN EXCESS OF $5 000.00 IS EXCLUDED FROM THIS CONTRACT. VENDOR TO IDENTIFY LINE NUMBER(S) AND APPLICABLE DISCOUNT ON INVOICE.,12.0,,3880.0,46560.0,97145.0,OFFICE SPACE RENTAL OR LEASE,,
D,24009306,P,UNIT 4550 EQUIPMENT MAINTENANCE REPAIR SERVICES,12937.0,12/05/2024,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,SUNSHINE QUALITY SOLUTIONS LLC,,DONALDSONVILLE,LA,70346,EQUIPMENT,,,A,LLCC,INS,N,N,N,N,N,N,N,N,N,N,N,1.0,3.0,UNIT 4550 TRANSPORTATION OF GOODS  SHIPPING AND HANDLING  AND OTHER FREIGHT SERVICES,1.0,EACH,88.69,88.69,96286.0,"TRANSPORTATION OF GOODS, SHIPP",601300.0,COST OF GOODS-OUT PARTS/SRV
